|        Source | VFWHM52 | eVFWHM52 | VFWHM66 | eVFWHM66 | VLSR52 | eVLSR52 | VLSR66 | EVLSR66 |
|            A1 |    34.0 |      4.0 |    36.4 |      1.2 |   60.0 |     2.0 |   64.5 |     0.4 |
|             B |    38.0 |      1.0 |    40.7 |      1.3 |   72.0 |     1.0 |   71.1 |     0.5 |
|        B10.06 |     nan |      nan |    35.7 |      7.2 |    nan |     nan |   46.3 |     2.6 |
|             D |    19.0 |      2.0 |    34.1 |      1.3 |   64.0 |     1.0 |   63.9 |     0.5 |
|             E |    26.0 |      2.0 |    34.8 |      1.0 |   63.0 |     1.0 |   62.3 |     0.4 |
|            F1 |    34.0 |      4.0 |    61.0 |     12.0 |   85.0 |     2.0 |   79.0 |     5.0 |
|       F10.303 |    57.0 |     10.0 |     nan |      nan |   57.0 |     5.0 |    nan |     nan |
|            F2 |    38.0 |      5.0 |    78.0 |     10.0 |   75.0 |     2.0 |   68.0 |     4.0 |
|            F3 |    50.0 |      3.0 |    63.0 |      5.0 |   61.0 |     1.0 |   68.0 |     2.0 |
|            F4 |    39.0 |      1.0 |    59.0 |      6.0 |   70.0 |     1.0 |   72.0 |     2.0 |
|        F10.27 |     nan |      nan |     nan |      nan |    nan |     nan |    nan |     nan |
|        F10.32 |     nan |      nan |     nan |      nan |    nan |     nan |    nan |     nan |
|        F10.37 |    16.0 |      3.0 |     nan |      nan |   60.0 |     1.0 |    nan |     nan |
|             G |    42.0 |      4.0 |    44.3 |      5.1 |   49.0 |     1.0 |   46.7 |     2.1 |
|             I |    27.0 |      1.0 |    36.6 |      0.8 |   65.0 |     1.0 |   60.8 |     0.3 |
