|       ID | Model |            RA |           Dec |    dz |       ne |    robs | ZAMS |       EM | log(Q_lyc) |
|       A1 |  ABCD |  17:47:19.432 |  -28:23:01.23 |   0.0 |    0.912 |  19.400 |   O6 |     2.30 |      48.86 |
|       A2 |  ABCD |  17:47:19.562 |  -28:22:55.82 |   0.0 |    1.440 |   7.910 | O8.5 |     2.40 |      48.09 |
|        B |  ABCD |  17:47:19.903 |  -28:23:02.78 |   0.0 |    4.060 |   5.230 | O7.5 |    12.00 |      48.44 |
|       B1 |  ABCD |  17:47:19.990 |  -28:23:02.65 |   0.0 |    3.820 |   1.370 |   B0 |     2.90 |      46.65 |
|    B9.89 |  ABCD |  17:47:19.695 |  -28:23:05.78 |   0.0 |    3.410 |   2.000 |   B0 |     3.40 |      47.04 |
|    B9.96 |  ABCD |  17:47:19.772 |  -28:23:10.05 |   0.0 |    3.170 |   2.000 |   B0 |     2.90 |      46.98 |
|    B9.99 |  ABCD |  17:47:19.798 |  -28:23:06.77 |   0.0 |    2.750 |   3.510 | O9.5 |     3.80 |      47.59 |
|   B10.06 |  ABCD |  17:47:19.864 |  -28:23:01.28 |   0.0 |    4.120 |   1.890 |   B0 |     4.60 |      47.13 |
|   B10.10 |  ABCD |  17:47:19.904 |  -28:23:02.00 |   0.0 |    4.640 |   1.440 |   B0 |     4.50 |      46.88 |
|        C |  ABCD |  17:47:20.001 |  -28:23:18.19 |   0.0 |    2.020 |   6.040 |   O9 |     3.60 |      48.03 |
|        D |  ABCD |  17:47:20.049 |  -28:23:12.74 |   0.0 |    3.110 |   4.390 |   O9 |     6.10 |      47.99 |
|        E |  ABCD |  17:47:20.067 |  -28:23:08.52 |   0.0 |    2.300 |   7.800 | O7.5 |     6.00 |      48.47 |
|      F1a |  ABCD |  17:47:20.122 |  -28:23:03.54 |   0.0 |   66.400 |   0.731 | O7.5 |   480.00 |      48.35 |
|      F1b |  ABCD |  17:47:20.123 |  -28:23:03.76 |   0.0 |  182.000 |   0.315 | O7.5 |  2000.00 |      48.45 |
|      F1c |  ABCD |  17:47:20.129 |  -28:23:03.85 |   0.0 |   83.200 |   0.655 |   O7 |   760.00 |      48.55 |
